apiname,difficulty,herotype,alttype,resource,rangetype,damage,toughness,control,mobility,utility,style,adaptivetype,hp_base,hp_lvl,mp_base,mp_lvl,arm_base,arm_lvl,mr_base,mr_lvl,hp5_base,hp5_lvl,mp5_base,mp5_lvl,dam_base,dam_lvl,as_base,as_lvl,range,ms,selection_height,selection_radius,pathing_radius,as_ratio,Jungle,Middle,Top,Support,Bottom,Skirmisher,Diver,Enchanter,Battlemage,Marksman,Assassin,Catcher,Vanguard,Juggernaut,Artillery,Burst,Specialist,Warden
GnarBig,2,Fighter,Tank,Rage,Melee,2,3,2,1,1,65,Physical,640,122.0,100,0.0,35.5,6.7,33.5,4.8,4.5,1.25,0.0,0.0,66,5.7,0.625,0.5,175,335,200.0,140.0,30.0,0.625,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Gragas,2,Fighter,Mage,Mana,Melee,2,3,3,2,1,90,Magic,640,115.0,400,47.0,38.0,5.0,32.0,2.05,5.5,0.5,6.0,0.8,64,3.5,0.675,2.05,125,330,185.0,140.0,50.0,0.625,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Graves,2,Marksman,,Mana,Ranged,3,2,1,2,2,20,Physical,625,106.0,325,40.0,33.0,4.6,32.0,2.05,8.0,0.7,8.0,0.7,68,4.0,0.475,3.0,425,340,140.0,110.0,10.0,0.490000009536743,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Gwen,2,Fighter,Assassin,Mana,Melee,3,2,1,3,1,50,Magic,620,115.0,330,40.0,39.0,5.2,32.0,2.05,9.0,0.9,7.5,0.7,63,3.0,0.69,2.25,150,340,120.0,100.0,35.0,0.69,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Hecarim,2,Fighter,Tank,Mana,Melee,2,2,2,2,1,65,Physical,625,106.0,280,40.0,32.0,5.45,32.0,2.05,7.0,0.75,7.0,0.8,66,3.7,0.67,2.5,175,345,140.0,140.0,50.0,0.6700000166893,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Heimerdinger,2,Mage,Support,Mana,Ranged,3,1,2,1,2,100,Magic,558,101.0,385,20.0,19.0,4.2,30.0,1.3,7.0,0.55,8.0,0.8,56,2.7,0.658,1.36,550,340,85.0,100.0,30.5443992614746,0.625,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Hwei,3,Mage,Support,Mana,Ranged,3,1,3,1,2,90,Magic,580,109.0,480,30.0,21.0,4.7,30.0,1.3,5.5,0.55,7.5,0.75,54,3.3,0.69,2.5,550,330,180.0,135.0,35.0,0.658,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Illaoi,2,Fighter,Tank,Mana,Melee,3,2,1,1,1,65,Physical,656,115.0,350,50.0,35.0,5.0,32.0,2.05,9.5,0.8,7.5,0.75,65,5.0,0.625,2.5,125,350,100.0,100.0,35.0,0.625,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Irelia,2,Fighter,Assassin,Mana,Melee,2,2,2,3,2,30,Physical,630,115.0,350,50.0,36.0,4.7,30.0,2.05,6.0,0.85,8.0,0.8,65,3.5,0.656,2.5,200,335,120.0,100.0,35.0,0.656000018119812,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Ivern,3,Support,Mage,Mana,Ranged,1,1,3,2,3,10,Magic,630,99.0,450,60.0,27.0,4.7,30.0,1.3,7.0,0.85,6.0,0.75,50,3.0,0.644,3.4,475,330,250.0,140.0,40.0,0.643999993801116,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Janna,1,Support,Mage,Mana,Ranged,1,1,3,1,3,100,Magic,570,90.0,360,50.0,28.0,4.5,30.0,1.3,5.5,0.55,11.5,0.4,47,2.5,0.625,3.0,550,325,200.0,125.0,35.0,0.625,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
JarvanIV,1,Fighter,Tank,Mana,Melee,2,2,2,2,2,55,Physical,640,104.0,300,55.0,36.0,5.2,32.0,2.05,8.0,0.7,6.5,0.45,64,3.0,0.658,2.5,175,340,100.0,125.0,35.0,0.657999992370605,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Jax,1,Fighter,Assassin,Mana,Melee,3,2,2,2,1,10,Physical,665,100.0,339,52.0,36.0,4.2,32.0,2.05,8.5,0.55,7.6,0.7,68,4.25,0.638,3.4,125,350,130.0,120.0,35.0,0.638000011444091,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Jayce,2,Marksman,Fighter,Mana,Melee,3,1,1,2,2,45,Physical,590,109.0,375,45.0,22.0,5.0,30.0,1.3,6.0,0.6,6.0,0.8,59,4.25,0.658,3.0,125,335,188.88890075683594,120.0,35.0,0.657999992370605,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Jhin,2,Marksman,Mage,Mana,Ranged,3,1,2,1,1,20,Physical,655,107.0,300,50.0,24.0,4.7,30.0,1.3,3.75,0.55,6.0,0.8,59,4.4,0.625,3.0,550,330,155.0,120.0,35.0,0.0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
Jinx,2,Marksman,,Mana,Ranged,3,1,2,1,1,10,Physical,630,105.0,260,50.0,26.0,4.7,30.0,1.3,3.75,0.5,6.7,1.0,59,3.25,0.625,1.4,525,325,155.0,120.0,35.0,0.625,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
KSante,3,Tank,Fighter,Mana,Melee,2,3,3,2,2,30,Physical,625,120.0,320,60.0,36.0,5.2,30.0,2.1,9.5,1.0,7.0,1.0,64,3.5,0.688,2.5,150,330,225.0,140.0,50.0,0.625,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Kaisa,2,Marksman,Mage,Mana,Ranged,3,1,1,3,1,10,Magic,640,102.0,345,40.0,25.0,4.2,30.0,1.3,3.5,0.55,8.2,0.7,59,2.6,0.644,1.8,525,335,122.22219848632812,100.0,40.6800003051757,0.643999993801116,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Kalista,3,Marksman,,Mana,Ranged,3,1,1,3,2,10,Physical,600,114.0,300,45.0,24.0,5.2,30.0,1.3,4.0,0.75,6.3,0.8,59,3.25,0.694,4.5,525,330,135.0,100.0,35.0,0.694000005722045,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Karma,1,Mage,Support,Mana,Ranged,2,1,2,1,2,100,Magic,630,109.0,374,40.0,28.0,5.0,30.0,1.3,5.5,0.55,13.0,0.8,51,3.3,0.625,2.3,525,335,145.0,120.0,35.0,0.625,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
Karthus,2,Mage,,Mana,Ranged,3,1,1,1,2,100,Magic,620,110.0,467,31.0,21.0,4.7,30.0,1.3,6.5,0.55,8.0,0.8,46,3.25,0.625,2.11,450,335,150.0,100.0,35.0,0.625,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Kassadin,2,Assassin,Mage,Mana,Melee,3,2,1,3,1,90,Magic,646,119.0,400,87.0,19.0,4.0,30.0,1.3,6.0,0.5,6.0,0.8,59,3.9,0.64,3.7,150,335,165.0,120.0,35.0,0.639999985694885,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Katarina,2,Assassin,Mage,,Melee,3,1,1,3,1,100,Magic,672,108.0,0,0.0,28.0,4.7,32.0,2.05,7.5,0.7,0.0,0.0,58,3.2,0.658,2.74,125,335,140.0,120.0,35.0,0.657999992370605,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Kayle,2,Mage,Marksman,Mana,Melee,3,1,1,1,3,20,Physical,670,92.0,330,50.0,26.0,4.2,22.0,1.3,5.0,0.5,8.0,0.8,50,2.5,0.625,1.5,175,335,240.0,140.0,35.0,0.666999995708465,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Kayn,2,Fighter,Assassin,Mana,Melee,3,1,1,3,1,0,Physical,655,109.0,410,50.0,38.0,4.5,32.0,2.05,8.0,0.75,11.5,0.95,68,3.3,0.669,2.7,175,340,180.0,135.0,35.0,0.669000029563903,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Kennen,2,Mage,Marksman,Energy,Ranged,3,1,3,1,1,65,Magic,580,98.0,200,0.0,29.0,4.95,30.0,1.3,5.5,0.65,50.0,0.0,48,3.75,0.625,3.4,550,335,177.77780151367188,100.0,30.0,0.689999997615814,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Khazix,2,Assassin,,Mana,Melee,3,1,1,2,1,55,Physical,643,99.0,327,40.0,32.0,4.2,32.0,2.05,7.5,0.75,7.59,0.5,60,3.1,0.668,2.7,125,350,150.0,130.0,35.0,0.667999982833862,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Kindred,3,Marksman,,Mana,Ranged,3,1,2,3,2,20,Physical,595,104.0,300,35.0,29.0,4.7,30.0,1.3,7.0,0.55,7.0,0.4,65,3.25,0.625,3.5,500,325,155.0,120.0,35.0,0.625,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Kled,2,Fighter,Tank,Courage,Melee,3,2,1,2,1,30,Physical,410,84.0,100,0.0,35.0,5.2,28.0,2.05,6.0,0.75,0.0,0.0,65,3.5,0.625,3.5,250,285,85.0,100.0,35.0,0.625,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Kled,2,Fighter,Tank,Courage,Melee,3,2,1,3,1,30,Physical,810,151.6470588235294,100,0.0,35.0,5.2,28.0,2.05,6.0,0.75,0.0,0.0,65,3.5,0.625,3.5,125,345,140.0,140.0,35.0,0.625,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
KogMaw,2,Marksman,Mage,Mana,Ranged,3,1,1,1,1,10,Physical,635,99.0,325,40.0,24.0,4.45,30.0,1.3,3.75,0.55,8.75,0.7,61,3.1,0.665,2.65,500,330,150.0,130.0,30.0,0.665000021457672,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Leblanc,2,Assassin,Mage,Mana,Ranged,3,1,2,3,1,100,Magic,598,111.0,400,25.0,22.0,4.7,30.0,1.3,7.5,0.55,8.0,0.8,55,2.2,0.658,2.35,525,340,85.0,100.0,35.0,0.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
LeeSin,2,Fighter,Assassin,Energy,Melee,3,2,2,3,1,55,Physical,645,108.0,200,0.0,36.0,4.9,32.0,2.05,7.5,0.7,50.0,0.0,69,3.7,0.651,3.0,125,345,225.0,102.777801513671,35.0,0.651000022888183,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Leona,1,Tank,Support,Mana,Melee,1,3,3,1,1,90,Physical,646,101.0,302,40.0,43.0,4.8,32.0,2.05,8.5,0.85,6.0,0.8,60,3.0,0.625,2.9,125,335,188.88890075683594,120.0,35.0,0.625,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Lillia,3,Fighter,Mage,Mana,Melee,3,1,2,2,2,80,Magic,605,105.0,410,50.0,22.0,4.5,32.0,1.55,2.5,0.55,11.5,0.95,61,3.1,0.625,2.7,325,330,180.0,135.0,35.0,0.625,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Lissandra,2,Mage,,Mana,Ranged,3,1,3,2,1,100,Magic,620,110.0,475,30.0,22.0,4.9,30.0,1.3,7.0,0.55,8.0,0.4,55,2.7,0.656,1.5,550,325,250.0,120.0,35.0,0.625,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Lucian,2,Marksman,Assassin,Mana,Ranged,3,1,1,3,1,30,Physical,641,100.0,320,43.0,28.0,4.2,30.0,1.3,3.75,0.65,7.0,0.8,60,2.9,0.638,3.3,500,335,122.22219848632812,100.0,40.6800003051757,0.638000011444091,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Lulu,2,Support,Mage,Mana,Ranged,2,1,2,1,3,80,Magic,595,92.0,350,55.0,26.0,4.9,30.0,1.3,6.0,0.6,11.0,0.6,47,2.6,0.625,2.25,550,330,85.0,100.0,30.0,0.625,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Lux,1,Mage,Support,Mana,Ranged,3,1,2,1,2,90,Magic,580,99.0,480,23.5,21.0,5.2,30.0,1.3,5.5,0.55,7.0,0.8,54,3.3,0.669,3.0,550,330,85.0,100.0,35.0,0.625,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
Malphite,1,Tank,Mage,Mana,Melee,1,3,3,1,1,75,Magic,665,104.0,280,60.0,37.0,4.95,28.0,2.05,7.0,0.55,7.3,0.55,62,4.0,0.736,3.4,125,335,180.0,125.0,50.0,0.638000011444091,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Malzahar,1,Mage,Assassin,Mana,Ranged,3,1,3,1,2,100,Magic,580,101.0,375,28.0,18.0,4.7,30.0,1.3,6.0,0.6,8.0,0.8,55,3.0,0.625,1.5,500,335,302.7778015136719,120.0,35.0,0.625,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Maokai,1,Tank,Support,Mana,Melee,1,3,3,1,2,75,Magic,665,109.0,375,43.0,35.0,5.2,32.0,2.05,5.0,0.75,6.0,0.6,64,3.3,0.8,2.125,125,335,190.0,125.0,50.0,0.694999992847442,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
MasterYi,1,Assassin,Fighter,Mana,Melee,3,1,1,2,1,10,Physical,669,105.0,251,42.0,33.0,4.7,32.0,2.05,7.5,0.65,7.25,0.45,65,2.8,0.679,2.5,175,355,155.0,125.0,35.0,0.67900002002716,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Mel,2,Mage,Support,Mana,Ranged,3,1,2,1,1,100,Magic,600,93.0,480,28.0,21.0,5.2,30.0,1.3,6.0,0.55,9.0,0.9,54,3.3,0.625,2.5,550,330,85.0,120.0,35.0,0.4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Milio,1,Support,Mage,Mana,Ranged,1,1,2,3,3,80,Magic,560,88.0,365,43.0,26.0,4.6,30.0,1.3,5.0,0.5,11.5,0.4,48,3.2,0.625,3.0,525,330,200.0,100.0,30.0,0.625,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
MissFortune,1,Marksman,Mage,Mana,Ranged,3,1,1,1,1,30,Physical,640,103.0,300,40.0,25.0,4.0,30.0,1.3,3.75,0.65,8.0,0.8,53,2.4,0.656,3.0,550,325,122.22219848632812,100.0,35.0,0.656000018119812,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
